23.08.2023 23:16:43.034 [restartedMain] INFO  o.h.j.i.u.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
23.08.2023 23:16:43.059 [restartedMain] INFO  o.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
23.08.2023 23:16:43.128 [restartedMain] INFO  o.h.a.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
23.08.2023 23:16:43.169 [restartedMain] INFO  o.h.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
23.08.2023 23:16:43.461 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
23.08.2023 23:16:43.465 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
23.08.2023 23:16:43.475 [restartedMain] INFO  c.e.o.s.i.FilesServiceImpl - File service init method
23.08.2023 23:16:43.475 [restartedMain] INFO  c.e.o.s.i.FilesServiceImpl - File service init method
23.08.2023 23:16:43.802 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
23.08.2023 23:16:44.158 [restartedMain] INFO  o.s.s.w.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4c2b16e, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6745d879, org.springframework.security.web.context.SecurityContextPersistenceFilter@323d11d3, org.springframework.security.web.header.HeaderWriterFilter@70d2a3fa, org.springframework.web.filter.CorsFilter@55b5da78, org.springframework.security.web.authentication.logout.LogoutFilter@3f4165ff, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@27088d92, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@c3da74a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@28943d6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@9a8132b, org.springframework.security.web.session.SessionManagementFilter@268acbde, org.springframework.security.web.access.ExceptionTranslationFilter@400cd088, org.springframework.security.web.access.intercept.AuthorizationFilter@953017a]
23.08.2023 23:16:44.321 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
23.08.2023 23:16:44.335 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
23.08.2023 23:16:44.345 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
23.08.2023 23:16:44.353 [restartedMain] INFO  c.e.o.OnlineResellingProjectApplication - Started OnlineResellingProjectApplication in 2.731 seconds (JVM running for 3.169)
23.08.2023 23:16:44.353 [restartedMain] INFO  c.e.o.OnlineResellingProjectApplication - Started OnlineResellingProjectApplication in 2.731 seconds (JVM running for 3.169)
23.08.2023 23:17:19.611 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[.[.[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
23.08.2023 23:17:19.612 [http-nio-8080-exec-2] INFO  o.s.w.s.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
23.08.2023 23:17:19.613 [http-nio-8080-exec-2] INFO  o.s.w.s.DispatcherServlet - Completed initialization in 1 ms
23.08.2023 23:19:14.715 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
23.08.2023 23:19:14.717 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource - HikariPool-1 - Shutdown initiated...
23.08.2023 23:19:14.718 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource - HikariPool-1 - Shutdown completed.
